10,锅炉数据采集监测终端采集数据查询响应包（终端发到平台）,,,,Terminal,0xA4
Id,TagId,TagName,DataType,Length,Start,End
0,1,包头,HEX,2,0,1
1,2,有效数据长度,HEX,2,2,3
2,3,流水号,HEX,2,4,5
3,4,状态消息码,HEX,1,6,6
4,5,终端身份识别码,CHAR,6,7,12
5,6,查询响应情况,HEX,1,13,13
6,9,数据格式版本号,HEX,1,14,14
7,10,锅炉编号,CHAR,2,15,16
8,11,上报时间,CHAR,14,17,30
9,101,温度通道1,HEX,2,31,32
10,102,温度通道2,HEX,2,33,34
11,103,温度通道3,HEX,2,35,36
12,104,温度通道4,HEX,2,37,38
13,105,温度通道5,HEX,2,39,40
14,106,温度通道6,HEX,2,41,42
15,107,温度通道7,HEX,2,43,44
16,108,温度通道8,HEX,2,45,46
17,109,温度通道9,HEX,2,47,48
18,110,温度通道10,HEX,2,49,50
19,111,温度通道11,HEX,2,51,52
20,112,温度通道12,HEX,2,53,54
21,201,模拟量通道1,HEX,2,55,56
22,202,模拟量通道2,HEX,2,57,58
23,203,模拟量通道3,HEX,2,59,60
24,204,模拟量通道4,HEX,2,61,62
25,205,模拟量通道5,HEX,2,63,64
26,206,模拟量通道6,HEX,2,65,66
27,207,模拟量通道7,HEX,2,67,68
28,208,模拟量通道8,HEX,2,69,70
29,209,模拟量通道9,HEX,2,71,72
30,210,模拟量通道10,HEX,2,73,74
31,211,模拟量通道11,HEX,2,75,76
32,212,模拟量通道12,HEX,2,77,78
33,301,开关量输入通道1,HEX,2,79,80
34,302,开关量输入通道2,HEX,2,81,82
35,303,开关量输入通道3,HEX,2,83,84
36,304,开关量输入通道4,HEX,2,85,86
37,305,开关量输入通道5,HEX,2,87,88
38,306,开关量输入通道6,HEX,2,89,90
39,307,开关量输入通道7,HEX,2,91,92
40,308,开关量输入通道8,HEX,2,93,94
41,309,开关量输入通道9,HEX,2,95,96
42,310,开关量输入通道10,HEX,2,97,98
43,311,开关量输入通道11,HEX,2,99,100
44,312,开关量输入通道12,HEX,2,101,102
45,313,开关量输入通道13,HEX,2,103,104
46,314,开关量输入通道14,HEX,2,105,106
47,315,开关量输入通道15,HEX,2,107,108
48,316,开关量输入通道16,HEX,2,109,110
49,317,开关量输入通道17,HEX,2,111,112
50,318,开关量输入通道18,HEX,2,113,114
51,319,开关量输入通道19,HEX,2,115,116
52,320,开关量输入通道20,HEX,2,117,118
53,321,开关量输入通道21,HEX,2,119,120
54,322,开关量输入通道22,HEX,2,121,122
55,323,开关量输入通道23,HEX,2,123,124
56,324,开关量输入通道24,HEX,2,125,126
57,325,开关量输入通道25,HEX,2,127,128
58,326,开关量输入通道26,HEX,2,129,130
59,327,开关量输入通道27,HEX,2,131,132
60,328,开关量输入通道28,HEX,2,133,134
61,329,开关量输入通道29,HEX,2,135,136
62,330,开关量输入通道30,HEX,2,137,138
63,331,开关量输入通道31,HEX,2,139,140
64,332,开关量输入通道32,HEX,2,141,142
65,333,开关量输出通道1,HEX,2,143,144
66,334,开关量输出通道2,HEX,2,145,146
67,335,开关量输出通道3,HEX,2,147,148
68,336,开关量输出通道4,HEX,2,149,150
69,337,开关量输出通道5,HEX,2,151,152
70,338,开关量输出通道6,HEX,2,153,154
71,339,开关量输出通道7,HEX,2,155,156
72,340,开关量输出通道8,HEX,2,157,158
73,341,开关量输出通道9,HEX,2,159,160
74,342,开关量输出通道10,HEX,2,161,162
75,343,开关量输出通道11,HEX,2,163,164
76,344,开关量输出通道12,HEX,2,165,166
77,345,开关量输出通道13,HEX,2,167,168
78,346,开关量输出通道14,HEX,2,169,170
79,347,开关量输出通道15,HEX,2,171,172
80,348,开关量输出通道16,HEX,2,173,174
81,401,计算参数1,HEX,2,175,176
82,402,计算参数2,HEX,2,177,178
83,403,计算参数3,HEX,2,179,180
84,404,计算参数4,HEX,2,181,182
85,405,计算参数5,HEX,2,183,184
86,406,计算参数6,HEX,2,185,186
87,407,计算参数7,HEX,2,187,188
88,408,计算参数8,HEX,2,189,190
89,409,计算参数9,HEX,2,191,192
90,410,计算参数10,HEX,2,193,194
91,411,计算参数11,HEX,2,195,196
92,412,计算参数12,HEX,2,197,198
93,700,终端故障,HEX,1,199,199
94,801,保留1,HEX,2,200,201
95,802,保留2,HEX,2,202,203
96,803,保留3,HEX,2,204,205
97,804,保留4,HEX,2,206,207
98,998,CRC校验,HEX,2,208,209
99,999,包尾,HEX,2,210,211
