15,锅炉数据采集监测终端能效计算模型参数配置指令包（平台发到终端）,,,,Server,0xB7
Id,TagId,TagName,DataType,Length,Start,End
0,1,包头,HEX,2,0,1
1,2,有效数据长度,HEX,2,2,3
2,3,流水号,HEX,2,4,5
3,4,状态消息码,HEX,1,6,6
4,5,终端身份识别码,CHAR,6,7,12
5,9,数据格式版本号,CHAR,1,13,13
6,7,锅炉编号,HEX,2,14,15
7,441,Coal_QNETVAR燃料收到基低位发热量,HEX,2,16,17
8,442,Coal_AAR燃料收到基灰分,HEX,2,18,19
9,443,Coal_MAR燃料收到基水分,HEX,2,20,21
10,444,Coal_VDAF干燥无灰基挥发分,HEX,2,22,23
11,445,Coal_CLZ炉渣可燃物含量,HEX,2,24,25
12,446,Coal_CLM漏煤可燃物含量,HEX,2,26,27
13,447,Coal_CFH飞灰可燃物含量,HEX,2,28,29
14,448,Coal_DED锅炉额定负荷,HEX,2,30,31
15,449,Coal_DSC锅炉实测负荷,HEX,2,32,33
16,450,Coal_ALZ炉渣含灰量占入炉煤总灰量百分比,HEX,2,34,35
17,451,Coal_ALM漏煤含灰量占入炉煤总灰量百分比,HEX,2,36,37
18,452,Coal_AFH飞灰含灰量占入炉煤总灰量百分比,HEX,2,38,39
19,453,Coal_Q3气体未完全燃烧热损失,HEX,2,40,41
20,454,Coal_M燃料计算系数,HEX,2,42,43
21,455,Coal_N燃料计算系数,HEX,2,44,45
22,456,Coal_TLZ炉渣温度,HEX,2,46,47
23,457,Coal_CT_LZ炉渣焓,HEX,2,48,49
24,458,Gas_DED锅炉额定负荷,HEX,2,50,51
25,459,Gas_DSC锅炉实测负荷,HEX,2,52,53
26,460,Gas_APY排烟处过量空气系数,HEX,2,54,55
27,461,Gas_Q3气体未完全燃烧热损失,HEX,2,56,57
28,462,Gas_M燃料计算系数,HEX,2,58,59
29,463,Gas_N燃料计算系数,HEX,2,60,61
30,603,配置参数预留1,HEX,2,62,63
31,604,配置参数预留2,HEX,2,64,65
32,605,配置参数预留3,HEX,2,66,67
33,606,配置参数预留4,HEX,2,68,69
34,607,配置参数预留5,HEX,2,70,71
35,608,配置参数预留6,HEX,2,72,73
36,501,报警阀值1,HEX,2,74,75
37,502,报警阀值2,HEX,2,76,77
38,503,报警阀值3,HEX,2,78,79
39,504,报警阀值4,HEX,2,80,81
40,505,报警阀值5,HEX,2,82,83
41,506,报警阀值6,HEX,2,84,85
42,507,报警阀值7,HEX,2,86,87
43,508,报警阀值8,HEX,2,88,89
44,801,保留1,HEX,2,90,91
45,802,保留2,HEX,2,92,93
46,803,保留3,HEX,2,94,95
47,804,保留4,HEX,2,96,97
48,998,CRC校验,HEX,2,98,99
49,999,包尾,HEX,2,100,101
