7,锅炉数据采集监测终端采集数据上报请求包（终端发到平台）,,,,Terminal,0xA3
Id,TagId,TagName,DataType,Length,Start,End
0,1,包头,HEX,2,0,1
1,2,有效数据长度,HEX,2,2,3
2,3,流水号,HEX,2,4,5
3,4,状态消息码,HEX,1,6,6
4,5,终端身份识别码,CHAR,6,7,12
5,9,数据格式版本号,HEX,1,13,13
6,10,锅炉编号,CHAR,2,14,15
7,11,上报时间,CHAR,14,16,29
8,101,温度通道1,HEX,2,30,31
9,102,温度通道2,HEX,2,32,33
10,103,温度通道3,HEX,2,34,35
11,104,温度通道4,HEX,2,36,37
12,105,温度通道5,HEX,2,38,39
13,106,温度通道6,HEX,2,40,41
14,107,温度通道7,HEX,2,42,43
15,108,温度通道8,HEX,2,44,45
16,109,温度通道9,HEX,2,46,47
17,110,温度通道10,HEX,2,48,49
18,111,温度通道11,HEX,2,50,51
19,112,温度通道12,HEX,2,52,53
20,201,模拟量通道1,HEX,2,54,55
21,202,模拟量通道2,HEX,2,56,57
22,203,模拟量通道3,HEX,2,58,59
23,204,模拟量通道4,HEX,2,60,61
24,205,模拟量通道5,HEX,2,62,63
25,206,模拟量通道6,HEX,2,64,65
26,207,模拟量通道7,HEX,2,66,67
27,208,模拟量通道8,HEX,2,68,69
28,209,模拟量通道9,HEX,2,70,71
29,210,模拟量通道10,HEX,2,72,73
30,211,模拟量通道11,HEX,2,74,75
31,212,模拟量通道12,HEX,2,76,77
32,301,开关量输入通道1,HEX,2,78,79
33,302,开关量输入通道2,HEX,2,80,81
34,303,开关量输入通道3,HEX,2,82,83
35,304,开关量输入通道4,HEX,2,84,85
36,305,开关量输入通道5,HEX,2,86,87
37,306,开关量输入通道6,HEX,2,88,89
38,307,开关量输入通道7,HEX,2,90,91
39,308,开关量输入通道8,HEX,2,92,93
40,309,开关量输入通道9,HEX,2,94,95
41,310,开关量输入通道10,HEX,2,96,97
42,311,开关量输入通道11,HEX,2,98,99
43,312,开关量输入通道12,HEX,2,100,101
44,313,开关量输入通道13,HEX,2,102,103
45,314,开关量输入通道14,HEX,2,104,105
46,315,开关量输入通道15,HEX,2,106,107
47,316,开关量输入通道16,HEX,2,108,109
48,317,开关量输入通道17,HEX,2,110,111
49,318,开关量输入通道18,HEX,2,112,113
50,319,开关量输入通道19,HEX,2,114,115
51,320,开关量输入通道20,HEX,2,116,117
52,321,开关量输入通道21,HEX,2,118,119
53,322,开关量输入通道22,HEX,2,120,121
54,323,开关量输入通道23,HEX,2,122,123
55,324,开关量输入通道24,HEX,2,124,125
56,325,开关量输入通道25,HEX,2,126,127
57,326,开关量输入通道26,HEX,2,128,129
58,327,开关量输入通道27,HEX,2,130,131
59,328,开关量输入通道28,HEX,2,132,133
60,329,开关量输入通道29,HEX,2,134,135
61,330,开关量输入通道30,HEX,2,136,137
62,331,开关量输入通道31,HEX,2,138,139
63,332,开关量输入通道32,HEX,2,140,141
64,333,开关量输出通道1,HEX,2,142,143
65,334,开关量输出通道2,HEX,2,144,145
66,335,开关量输出通道3,HEX,2,146,147
67,336,开关量输出通道4,HEX,2,148,149
68,337,开关量输出通道5,HEX,2,150,151
69,338,开关量输出通道6,HEX,2,152,153
70,339,开关量输出通道7,HEX,2,154,155
71,340,开关量输出通道8,HEX,2,156,157
72,341,开关量输出通道9,HEX,2,158,159
73,342,开关量输出通道10,HEX,2,160,161
74,343,开关量输出通道11,HEX,2,162,163
75,344,开关量输出通道12,HEX,2,164,165
76,345,开关量输出通道13,HEX,2,166,167
77,346,开关量输出通道14,HEX,2,168,169
78,347,开关量输出通道15,HEX,2,170,171
79,348,开关量输出通道16,HEX,2,172,173
80,401,计算参数1,HEX,2,174,175
81,402,计算参数2,HEX,2,176,177
82,403,计算参数3,HEX,2,178,179
83,404,计算参数4,HEX,2,180,181
84,405,计算参数5,HEX,2,182,183
85,406,计算参数6,HEX,2,184,185
86,407,计算参数7,HEX,2,186,187
87,408,计算参数8,HEX,2,188,189
88,409,计算参数9,HEX,2,190,191
89,410,计算参数10,HEX,2,192,193
90,411,计算参数11,HEX,2,194,195
91,412,计算参数12,HEX,2,196,197
92,700,终端故障,HEX,1,198,198
93,801,保留1,HEX,2,199,200
94,802,保留2,HEX,2,201,202
95,803,保留3,HEX,2,203,204
96,804,保留4,HEX,2,205,206
97,998,CRC校验,HEX,2,207,208
98,999,包尾,HEX,2,209,210
